,Model_Name,Enocding_Type,Clustering_Algorithm,Clusters,Silhouette_Score,Survival_Pval,Cluster_score
0,L2GCNConv,final,KMEANS,2,0.6793092950743768,0.1945330953296983,0.10825224996428627
1,L2GCNConv,final,KMEANS,3,0.6249328440195765,0.32254906562678903,0.014483494330483933
2,L2GCNConv,final,KMEANS,4,0.5195463376718098,0.3974539693336119,0.012578192668370729
3,L2GCNConv,final,KMEANS,5,0.5223386011667797,0.21241911628074922,0.008440506082924078
4,L2GCNConv,final,KMEANS,6,0.44595294006344793,0.1326670005355358,0.007736657931013589
5,L2GCNConv,final,PAM,2,0.6704087257385254,0.659020713267333,0.18799701592038223
6,L2GCNConv,final,PAM,3,0.6949758529663086,0.9071564627210718,0.0295227847733155
7,L2GCNConv,final,PAM,4,0.6897221803665161,0.40428434605209074,0.009544792402996891
8,L2GCNConv,final,PAM,5,0.5803341865539551,0.4388378928681662,0.009108240011319052
9,L2GCNConv,final,PAM,6,0.576539158821106,0.608843088859639,0.007224878587133837
10,L2GCNConv,final,COMMONNN,2,-0.3061557034604623,0.08560876849730133,0.045523086935128014
11,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,2,0.5900147583385097,0.6140065337409341,0.18996523864700562
12,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,3,0.5986797872110442,0.357533497908737,0.014646525301154489
13,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,4,0.5537602209856274,0.3261303133036986,0.011986854229190769
14,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,5,0.4067181021039394,0.4524991933666397,0.011357828003719421
15,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,6,0.41457435008081844,0.28907463799773114,0.006994814489532772
16,L2GCNConv,final,BRICH,2,0.8025859594345093,0.8985845890782724,0.03457087982730433
17,L2GCNConv,final,BRICH,3,0.6961987614631653,0.6270250428159981,0.028473739754538287
18,L2GCNConv,final,BRICH,4,0.6953845024108887,0.32474464997657293,0.008320769631568208
19,L2GCNConv,final,BRICH,5,0.6164496541023254,0.36644467002619524,0.007214602355166857
