,Model_Name,Enocding_Type,Clustering_Algorithm,Clusters,Silhouette_Score,Survival_Pval,Cluster_score
0,L2GCNConv,final,KMEANS,2,0.716387613272226,0.15835852834463662,0.11123632958207012
1,L2GCNConv,final,KMEANS,3,0.704481671215039,0.0026839182306298715,0.007434920356199497
2,L2GCNConv,final,KMEANS,4,0.5120334976296864,0.010276231573131726,0.007122594263131073
3,L2GCNConv,final,KMEANS,5,0.5108542542410942,0.01798152405520738,0.005986345704409814
4,L2GCNConv,final,KMEANS,6,0.39216761387556953,0.01209891207674138,0.005663178823413742
5,L2GCNConv,final,PAM,2,0.7266358137130737,0.1818461605811627,0.14456913382327266
6,L2GCNConv,final,PAM,3,0.5375394821166992,0.06108384672435961,0.08002160428620551
7,L2GCNConv,final,PAM,4,0.6040208339691162,0.12799309546611318,0.0129720319009574
8,L2GCNConv,final,PAM,5,0.5142201781272888,0.21134859282454227,0.014120864811904773
9,L2GCNConv,final,PAM,6,0.5131248235702515,0.06033778812794689,0.0072898064372852065
10,L2GCNConv,final,COMMONNN,2,-0.3173666917757849,0.8281743526244677,0.023332962968841763
11,L2GCNConv,final,AFFINITY_PROPAGATION,2,0.7524100542068481,0.8552208857204138,0.0308566530689989
12,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,2,0.6294232330945405,0.5107341588625258,0.1776797193695338
13,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,3,0.6011405391915647,0.7409951766136714,0.040106466597623056
14,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,4,0.6079541605203622,0.01506904178833716,0.006517981503219078
15,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,5,0.38703409922133564,0.010436154574679212,0.006325685652558271
16,L2GCNConv,final,AGGLOMERATIVE_CLUSTERING,6,0.3950722673942894,0.004482580184803083,0.00566758203765359
17,L2GCNConv,final,BRICH,2,0.7504231333732605,0.09038578387063426,0.09910953794384217
18,L2GCNConv,final,BRICH,3,0.7311530113220215,0.010821644299924467,0.010544938461063169
19,L2GCNConv,final,BRICH,4,0.6293811202049255,0.02470637148724462,0.009835870154574733
20,L2GCNConv,final,BRICH,5,0.6272253394126892,0.05239340912049077,0.007258558963469763
21,L2GCNConv,final,BRICH,6,0.5512239336967468,0.09349494163278506,0.006318727207670481
22,L2GCNConv,final,MEANSHIFT,17,0.5172270397082708,0.18307741084906567,0.00036335781314594486
23,L2GCNConv,final,SPECTRAL_CLUSTERING,2,0.8360532118035183,0.0035138969588393116,0.007904636434342312
24,L2GCNConv,final,SPECTRAL_CLUSTERING,3,0.7111100710859052,0.00597406274181763,0.0066946591042760925
25,L2GCNConv,final,SPECTRAL_CLUSTERING,4,0.6705764422006846,0.01662743151954614,0.004441251387891059
26,L2GCNConv,final,SPECTRAL_CLUSTERING,5,0.6460179954251303,0.011095913697949813,0.003758409370742646
27,L2GCNConv,final,SPECTRAL_CLUSTERING,6,0.6581293773292317,0.04637472865392812,0.0016701470352740641
28,L2GCNConv,final,GAUSSIAN_MIXTURE,2,0.716387613272226,0.15835852834463662,0.11123632958207012
29,L2GCNConv,final,GAUSSIAN_MIXTURE,3,0.7020971073184534,0.00259761087269816,0.007447785568975083
30,L2GCNConv,final,GAUSSIAN_MIXTURE,4,0.6193574385880867,0.016196300560865018,0.00643324409838696
31,L2GCNConv,final,GAUSSIAN_MIXTURE,5,0.5108542542410942,0.01798152405520738,0.005986345704409814
32,L2GCNConv,final,GAUSSIAN_MIXTURE,6,0.5072208450721098,0.03591669034168086,0.004183852498561633
0,L2GCNConv,alsnmf,KMEANS,2,0.7616013406801583,0.04138181509640415,0.11999809526832907
1,L2GCNConv,alsnmf,KMEANS,3,0.6606149490378573,0.23106259816425873,0.06589088774050253
2,L2GCNConv,alsnmf,KMEANS,4,0.6669324567335507,0.16290178644202927,0.015295626272043087
3,L2GCNConv,alsnmf,KMEANS,5,0.6282693495361179,0.3413387819166542,0.010686586032250013
4,L2GCNConv,alsnmf,KMEANS,6,0.5754884988290847,0.011246085437949886,0.007137635233391959
5,L2GCNConv,alsnmf,PAM,2,0.6792119741439819,0.5527305585645202,0.19380644751670606
6,L2GCNConv,alsnmf,PAM,3,0.6434677839279175,0.12348209660877264,0.07602508212952197
7,L2GCNConv,alsnmf,PAM,4,0.5736308693885803,0.21100757259759986,0.05444012254743705
8,L2GCNConv,alsnmf,PAM,5,0.5646945834159851,0.15887515979246067,0.037215392742796075
9,L2GCNConv,alsnmf,PAM,6,0.5581052303314209,0.5778316874868038,0.019543114602424323
10,L2GCNConv,alsnmf,COMMONNN,12,0.430358838709653,0.7673199310343958,0.0010659067645171457
11,L2GCNConv,alsnmf,AFFINITY_PROPAGATION,11,0.6093915104866028,0.1174708506716413,0.003990795267312148
12,L2GCNConv,alsnmf,AGGLOMERATIVE_CLUSTERING,2,0.7557077972110817,0.09038578387063426,0.09910953794384217
