,Model_Name,Enocding_Type,Clustering_Algorithm,Clusters,Silhouette_Score,Survival_Pval,Cluster_score
0,L3CGConv,final,KMEANS,2,0.3324352905408357,0.41815572762028297,0.007904636434342312
1,L3CGConv,final,KMEANS,3,0.2036642496533139,0.19874195677621098,0.009465493729778871
2,L3CGConv,final,KMEANS,4,0.12829843064185556,0.6580813701093664,0.0031076138007439173
3,L3CGConv,final,KMEANS,5,0.13568985093013206,0.9485448443202282,0.0011937573797756386
4,L3CGConv,final,KMEANS,6,0.02729557948378281,0.4795546927963287,0.0020559751471766136
5,L3CGConv,final,PAM,2,0.5121660828590393,0.3693260514351079,0.23523436135934347
6,L3CGConv,final,PAM,3,0.4983118772506714,0.23603289361662944,0.042063789042724134
7,L3CGConv,final,PAM,4,0.3562459647655487,0.26284263819532444,0.04944219655484251
8,L3CGConv,final,PAM,5,0.3572157323360443,0.2530495944325714,0.019033477974803342
9,L3CGConv,final,PAM,6,0.3013995587825775,0.4022340093175141,0.015349152866461447
10,L3CGConv,final,COMMONNN,2,-0.3182289804449806,0.3338389041863432,0.011809336359740321
11,L3CGConv,final,AFFINITY_PROPAGATION,14,0.16548968851566315,0.03485759175296412,0.001902271871781625
12,L3CGConv,final,AGGLOMERATIVE_CLUSTERING,2,0.3107191588915227,0.23817868245924614,0.023332962968841763
13,L3CGConv,final,AGGLOMERATIVE_CLUSTERING,3,0.26219298477499176,0.4987323573683752,0.00593972992411692
14,L3CGConv,final,AGGLOMERATIVE_CLUSTERING,4,0.22340927188877327,0.6419358937323114,0.00396766842096634
15,L3CGConv,final,AGGLOMERATIVE_CLUSTERING,5,0.2251106883922498,0.7947910810399311,0.0018352984003074
16,L3CGConv,final,AGGLOMERATIVE_CLUSTERING,6,0.09641291070467012,0.8109725250121107,0.001680411296618119
17,L3CGConv,final,BRICH,2,0.6368488669395447,0.12926190182411842,0.049110331582038376
18,L3CGConv,final,BRICH,3,0.5052146315574646,0.25006712002131604,0.04085745186308132
19,L3CGConv,final,BRICH,4,0.4942465126514435,0.42812104672727147,0.008776987084061163
20,L3CGConv,final,BRICH,5,0.34898024797439575,0.39510867922881704,0.007992091331253953
21,L3CGConv,final,BRICH,6,0.3278841972351074,0.27606135538550236,0.007700380268354072
22,L3CGConv,final,MEANSHIFT,58,0.1458341448287668,3.663447701201842e-14,6.988953490676052e-05
23,L3CGConv,final,SPECTRAL_CLUSTERING,2,0.08030135223220815,0.4525209188007697,0.019523499626990046
24,L3CGConv,final,SPECTRAL_CLUSTERING,3,0.0853330447867515,0.6467058354312057,0.007412921056966621
25,L3CGConv,final,SPECTRAL_CLUSTERING,4,0.08900244210795964,0.7671805266231775,0.004575001429687946
26,L3CGConv,final,SPECTRAL_CLUSTERING,5,0.14120021108820788,0.9191261050012871,0.0018352984003073996
27,L3CGConv,final,SPECTRAL_CLUSTERING,6,0.09109137024503301,0.9135352479574494,0.001680411296618119
28,L3CGConv,final,GAUSSIAN_MIXTURE,2,0.3324352905408357,0.41815572762028297,0.007904636434342312
29,L3CGConv,final,GAUSSIAN_MIXTURE,3,-0.08110094958138121,0.7108310018430772,0.0026489217393161936
30,L3CGConv,final,GAUSSIAN_MIXTURE,4,0.007624751903452175,1.7690632505475482e-09,0.0013262386694831412
31,L3CGConv,final,GAUSSIAN_MIXTURE,5,0.09729075794725363,0.9368123670003995,0.0012659852209170477
32,L3CGConv,final,GAUSSIAN_MIXTURE,6,0.1158452096641992,0.8490790170346376,0.0010853295105616128
0,L3CGConv,alsnmf,KMEANS,2,0.5920319772698559,0.2428967705490131,0.21856795923874223
1,L3CGConv,alsnmf,KMEANS,3,0.5573079861411468,0.16277403946301902,0.06880821447452326
2,L3CGConv,alsnmf,KMEANS,4,0.5444158062242377,0.17541400431374274,0.028356929308641626
3,L3CGConv,alsnmf,KMEANS,5,0.5218435045215365,0.37876240377248194,0.02342586065891604
4,L3CGConv,alsnmf,KMEANS,6,0.5114407967859457,0.4988786190777922,0.017986346422272873
5,L3CGConv,alsnmf,PAM,2,0.5194674134254456,0.49086403687926694,0.2445675465468802
6,L3CGConv,alsnmf,PAM,3,0.5241159200668335,0.275486466429171,0.10636818114954669
7,L3CGConv,alsnmf,PAM,4,0.49672195315361023,0.26919680297178306,0.061593264996620545
8,L3CGConv,alsnmf,PAM,5,0.48384636640548706,0.7632334932694713,0.032665007774483175
9,L3CGConv,alsnmf,PAM,6,0.48965877294540405,0.44462276628127895,0.02135516716851053
10,L3CGConv,alsnmf,COMMONNN,5,0.4184083520353014,0.65860150056369,0.004192589650463529
11,L3CGConv,alsnmf,AFFINITY_PROPAGATION,10,0.4781312048435211,0.7273910517897586,0.006371247440231739
12,L3CGConv,alsnmf,AGGLOMERATIVE_CLUSTERING,2,0.5907301294739162,0.3242261882970314,0.22132982016158476
13,L3CGConv,alsnmf,AGGLOMERATIVE_CLUSTERING,3,0.5780748308367996,0.3650518841324007,0.03329736797664188
14,L3CGConv,alsnmf,AGGLOMERATIVE_CLUSTERING,4,0.4999601234230658,0.14721992628032812,0.02853411933660706
15,L3CGConv,alsnmf,AGGLOMERATIVE_CLUSTERING,5,0.5132653592153212,0.1712690020243528,0.020666831249897485
16,L3CGConv,alsnmf,AGGLOMERATIVE_CLUSTERING,6,0.4969793500248779,0.26855185050068053,0.01805976591764945
17,L3CGConv,alsnmf,BRICH,2,0.45548129081726074,0.32467700987776926,0.18396533388358915
18,L3CGConv,alsnmf,BRICH,3,0.48979058861732483,0.16768228948588568,0.10445201384759104
19,L3CGConv,alsnmf,BRICH,4,0.4856390953063965,0.18770456079865402,0.03616783656043241
20,L3CGConv,alsnmf,BRICH,5,0.4573923349380493,0.3093495129794818,0.028596177703452307
21,L3CGConv,alsnmf,BRICH,6,0.461856484413147,0.27975135582830707,0.021818336962664615
22,L3CGConv,alsnmf,DBSCAN,2,0.6085076285024641,0.12368666956520745,0.05266583070109998
23,L3CGConv,alsnmf,MEANSHIFT,3,0.546118692757985,0.16485760798205362,0.014397753913017074
24,L3CGConv,alsnmf,SPECTRAL_CLUSTERING,2,0.5920319772698559,0.2428967705490131,0.21856795923874223
25,L3CGConv,alsnmf,SPECTRAL_CLUSTERING,3,0.3929557452930527,0.05304019944383243,0.07546713431787047
26,L3CGConv,alsnmf,SPECTRAL_CLUSTERING,4,0.07039488601283947,0.13739194494632498,0.007203705366781051
27,L3CGConv,alsnmf,SPECTRAL_CLUSTERING,5,0.045908590579397494,0.21935457978271203,0.0025651984617451485
28,L3CGConv,alsnmf,SPECTRAL_CLUSTERING,6,0.05294147096777657,0.2823246848956041,0.0013081642922636602
29,L3CGConv,alsnmf,GAUSSIAN_MIXTURE,2,0.5746192128940164,0.17551335046042235,0.2199647624640879
30,L3CGConv,alsnmf,GAUSSIAN_MIXTURE,3,0.5418148431300595,0.3137886142337203,0.04250099220420879
31,L3CGConv,alsnmf,GAUSSIAN_MIXTURE,4,0.5111315469356904,0.27749265139233453,0.033650175887693944
32,L3CGConv,alsnmf,GAUSSIAN_MIXTURE,5,0.46501221359601896,0.4235420946444487,0.026203611990778957
33,L3CGConv,alsnmf,GAUSSIAN_MIXTURE,6,0.4797558247869614,0.67784538328889,0.01790856444453889
0,L3CGConv,nmf,KMEANS,2,0.41888887240499006,0.32108502351595086,0.18599704766591005
1,L3CGConv,nmf,KMEANS,3,0.4660597822841726,0.1265744590073073,0.07520190721853272
2,L3CGConv,nmf,KMEANS,4,0.4456635358580759,0.6859555104735899,0.027935187763120806
3,L3CGConv,nmf,KMEANS,5,0.37743828513984273,0.7618860541440112,0.022738633463643347
4,L3CGConv,nmf,KMEANS,6,0.4118439191462611,0.24888140940544592,0.016110356272162875
5,L3CGConv,nmf,PAM,2,0.4594334661960602,0.5543237570977555,0.21713941048554783
6,L3CGConv,nmf,PAM,3,0.4072516858577728,0.3329000686613078,0.07198282639438731
7,L3CGConv,nmf,PAM,4,0.4250218868255615,0.7509405718066718,0.027103485474709105
8,L3CGConv,nmf,PAM,5,0.36380836367607117,0.7290577342847882,0.022923985968478906
9,L3CGConv,nmf,PAM,6,0.38765156269073486,0.8520800301471879,0.017269150171575622
10,L3CGConv,nmf,AFFINITY_PROPAGATION,19,0.3768218755722046,0.22540003060714411,0.0015716314436415623
11,L3CGConv,nmf,AGGLOMERATIVE_CLUSTERING,2,0.4048648719131388,0.12121644005685077,0.12285519277471785
12,L3CGConv,nmf,AGGLOMERATIVE_CLUSTERING,3,0.4629218035876597,0.03759437580074372,0.06811289441960786
13,L3CGConv,nmf,AGGLOMERATIVE_CLUSTERING,4,0.4841464994105382,0.07540654279644915,0.02507531234123227
14,L3CGConv,nmf,AGGLOMERATIVE_CLUSTERING,5,0.3528088702391162,0.06225805751128931,0.022598280694294103
15,L3CGConv,nmf,AGGLOMERATIVE_CLUSTERING,6,0.35623473571647496,0.08194431779257166,0.012226247130555243
16,L3CGConv,nmf,BRICH,2,0.6100347638130188,0.20478217954703617,0.0928556689576356
17,L3CGConv,nmf,BRICH,3,0.4378100335597992,0.4448809066156192,0.06276819168160983
18,L3CGConv,nmf,BRICH,4,0.4588876962661743,0.6531653377544131,0.022275100963455068
19,L3CGConv,nmf,BRICH,5,0.33701232075691223,0.6924503483764461,0.02017898726295138
20,L3CGConv,nmf,BRICH,6,0.34333375096321106,0.20862046168284593,0.015437165170064037
21,L3CGConv,nmf,MEANSHIFT,5,0.45174235054303813,0.38199894518487076,0.007845943393308605
22,L3CGConv,nmf,SPECTRAL_CLUSTERING,2,0.4146516064791474,0.05801510026053254,0.15218806050697609
23,L3CGConv,nmf,SPECTRAL_CLUSTERING,3,0.4624182640658337,0.20822491485567213,0.07487472366062166
24,L3CGConv,nmf,SPECTRAL_CLUSTERING,4,-0.06523921717973817,0.3604524931880509,0.0037849405642795936
25,L3CGConv,nmf,SPECTRAL_CLUSTERING,5,-0.07261217432102228,0.41182399131582714,0.0019416546469738906
26,L3CGConv,nmf,SPECTRAL_CLUSTERING,6,-0.07347307776292536,0.6477650493991993,0.0013059887150140463
27,L3CGConv,nmf,GAUSSIAN_MIXTURE,2,0.46778217373396674,0.36936790043884193,0.1496801638069237
