2022-11-15 01:21:01,563 INFO    MainThread:29132 [wandb_setup.py:_flush():68] Configure stats pid to 29132
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_setup.py:_flush():68] Loading settings from /home2/aswin/.config/wandb/settings
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_setup.py:_flush():68] Loading settings from /home2/aswin/gae/new_graph/wandb/settings
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'graph_stratification.py', 'program': '/home2/aswin/gae/new_graph/graph_stratification.py'}
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_init.py:_log_setup():476] Logging user logs to /home2/aswin/gae/new_graph/wandb/run-20221115_012101-1v2tni1v/logs/debug.log
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_init.py:_log_setup():477] Logging internal logs to /home2/aswin/gae/new_graph/wandb/run-20221115_012101-1v2tni1v/logs/debug-internal.log
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_init.py:init():516] calling init triggers
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_init.py:init():569] starting backend
2022-11-15 01:21:01,564 INFO    MainThread:29132 [wandb_init.py:init():573] setting up manager
2022-11-15 01:21:01,565 INFO    MainThread:29132 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-15 01:21:01,566 INFO    MainThread:29132 [wandb_init.py:init():580] backend started and connected
2022-11-15 01:21:01,569 INFO    MainThread:29132 [wandb_init.py:init():658] updated telemetry
2022-11-15 01:21:01,570 INFO    MainThread:29132 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-15 01:21:02,957 INFO    MainThread:29132 [wandb_run.py:_on_init():2000] communicating current version
2022-11-15 01:21:03,128 INFO    MainThread:29132 [wandb_run.py:_on_init():2004] got version response 
2022-11-15 01:21:03,128 INFO    MainThread:29132 [wandb_init.py:init():728] starting run threads in backend
2022-11-15 01:21:07,286 INFO    MainThread:29132 [wandb_run.py:_console_start():1980] atexit reg
2022-11-15 01:21:07,286 INFO    MainThread:29132 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-15 01:21:07,286 INFO    MainThread:29132 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-15 01:21:07,286 INFO    MainThread:29132 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-15 01:21:07,287 INFO    MainThread:29132 [wandb_init.py:init():765] run started, returning control to user process
2022-11-15 01:21:07,287 INFO    MainThread:29132 [wandb_run.py:_config_callback():1160] config_cb None None {'epochs': 100, 'batch_size': 3, 'lr': 0.0003, 'optim': 'ADAM', 'data_type': 'SM_miss', 'cancer': 'KIRP', 'save': './new_res/KIRP/SM_miss/L3TransformerConv/ADAM_0.0003/', 'model_type': 'L3TransformerConv'}
2022-11-15 02:42:15,541 INFO    MainThread:29132 [wandb_run.py:_finish():1746] finishing run itsagoodteam/EXPERIMENTAL_RUNS_PART1_MISS/1v2tni1v
2022-11-15 02:42:15,541 INFO    MainThread:29132 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-15 02:42:15,542 INFO    MainThread:29132 [wandb_run.py:_restore():1932] restore
2022-11-15 02:42:15,542 INFO    MainThread:29132 [wandb_run.py:_restore():1938] restore done
2022-11-15 02:42:23,283 INFO    MainThread:29132 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-15 02:42:23,284 INFO    MainThread:29132 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-15 02:42:23,294 INFO    MainThread:29132 [wandb_run.py:_footer_sync_info():3333] logging synced files
